"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","symbol","gene_biotype"
997.444732611474,4.57496679448078,0.184241415527361,24.8313701964657,4.11066705208433e-136,7.41235482831846e-132,"ENSG00000152583","SPARCL1","SPARCL1","protein_coding"
495.095686525811,3.29109887177958,0.133052739472446,24.7352958295244,4.46338437679846e-135,4.02418735412149e-131,"ENSG00000165995","CACNB2","CACNB2","protein_coding"
3409.03835490143,2.94784977790587,0.121876435977819,24.1872003743396,3.03383952922618e-129,1.82353981303355e-125,"ENSG00000120129","DUSP1","DUSP1","protein_coding"
12703.4128252398,3.76702165770115,0.155991949351366,24.1488209703444,7.68265712946665e-129,3.46334183396356e-125,"ENSG00000101347","SAMHD1","SAMHD1","protein_coding"
2341.78067569054,3.35365484627212,0.142180986010796,23.5872245675485,5.21270571208588e-123,1.87991018800665e-119,"ENSG00000189221","MAOA","MAOA","protein_coding"
12285.7000547124,3.73043925959336,0.166398396765569,22.4187211662202,2.58505910605071e-111,7.76896430005107e-108,"ENSG00000211445","GPX3","GPX3","protein_coding"
3009.27287526155,1.97679565168806,0.0904251236915184,21.8611329571615,6.09134856618097e-106,1.56913139064822e-102,"ENSG00000157214","STEAP2","STEAP2","protein_coding"
5393.11454093552,2.03569683138984,0.0946846972677697,21.4997448387341,1.56546232392648e-102,3.52855207813028e-99,"ENSG00000162614","NEXN","NEXN","protein_coding"
3656.26740037453,2.21100567872801,0.106090564179892,20.8407382486808,1.84964420686781e-96,3.70586492647115e-93,"ENSG00000125148","MT2A","MT2A","protein_coding"
30315.113170016,2.34563484246281,0.116359625488908,20.1584942595609,2.26675654686448e-90,4.08741540530602e-87,"ENSG00000154734","ADAMTS1","ADAMTS1","protein_coding"
1223.46315207371,2.22892888511728,0.113079591202569,19.7111508930414,1.72987632463352e-86,2.83573908052651e-83,"ENSG00000139132","FGD4","FGD4","protein_coding"
1099.63807723644,1.89125078554927,0.0959942651273024,19.7017059617175,2.08475767408896e-86,3.13269586493101e-83,"ENSG00000162493","PDPN","PDPN","protein_coding"
5510.95647651194,2.19572522999983,0.112488189680943,19.5196067803001,7.4811769099386e-85,1.03769678492318e-81,"ENSG00000134243","SORT1","SORT1","protein_coding"
776.600164098613,3.19178842275914,0.164048734577958,19.4563428420861,2.57518273390602e-84,3.31683536127095e-81,"ENSG00000179094","PER1","PER1","protein_coding"
508.164810682556,-3.6925788320669,0.190064983222135,-19.4279807330489,4.47628018031121e-84,5.38108561409145e-81,"ENSG00000162692","VCAM1","VCAM1","protein_coding"
561.111048261822,4.45916919420325,0.234793424838297,18.9918827466072,1.99061930604088e-80,2.24342795790807e-77,"ENSG00000163884","KLF15","KLF15","protein_coding"
2649.82251474546,-2.52817101093798,0.134837261861861,-18.7497949456142,1.9433888453264e-78,2.0613639799368e-75,"ENSG00000178695","KCTD12","KCTD12","protein_coding"
2057.20440873193,2.91847590239058,0.161676129174236,18.0513716978304,7.69555578566942e-73,7.70923677373283e-70,"ENSG00000198624","CCDC69","CCDC69","protein_coding"
1365.16397466345,-1.81451079211126,0.10075218979696,-18.0096412372569,1.63685980124661e-72,1.55346610189889e-69,"ENSG00000148848","ADAM12","ADAM12","protein_coding"
25136.0890181904,-1.91163716818408,0.106290137172562,-17.9850851549899,2.54996723845944e-72,2.29905046219503e-69,"ENSG00000107562","CXCL12","CXCL12","protein_coding"
313.686159348886,-2.75618360289443,0.154504174059423,-17.8388941248563,3.52605332621274e-71,3.02770445610801e-68,"ENSG00000146250","PRSS35","PRSS35","protein_coding"
884.737400832367,-1.75622283812899,0.0998483763594599,-17.5888973077187,2.99651898278513e-69,2.45605592261734e-66,"ENSG00000106976","DNM1","DNM1","protein_coding"
670.046865009161,1.89855975811517,0.108700867687764,17.4659117125786,2.60506152072153e-68,2.04236823224568e-65,"ENSG00000154930","ACSS1","ACSS1","protein_coding"
1216.57690967205,-2.18849632281705,0.12576843039981,-17.4009989300173,8.1076636309606e-68,6.09155794139507e-65,"ENSG00000163394","CCKAR","CCKAR","protein_coding"
1040.17481746375,1.98909855961132,0.114676175109615,17.3453514447095,2.1386618942012e-67,1.54257405104944e-64,"ENSG00000253368","TRNP1","TRNP1","protein_coding"
8565.67576080715,2.26029901629851,0.13128900708108,17.2162092360301,2.00711299578514e-66,1.39201005923068e-63,"ENSG00000163661","PTX3","PTX3","protein_coding"
1467.63832301977,1.51914530048026,0.0882657722647773,17.2110350535785,2.19473735149954e-66,1.4657594045274e-63,"ENSG00000162616","DNAJB4","DNAJB4","protein_coding"
1281.45678699994,-2.4119991744243,0.141051833300623,-17.1000909239061,1.48172958710116e-65,9.54233854093148e-63,"ENSG00000124766","SOX4","SOX4","protein_coding"
11193.7231981539,1.44790315413863,0.0848920190234155,17.0558218639995,3.16391384151862e-65,1.92452574306719e-62,"ENSG00000148175","STOM","STOM","protein_coding"
1969.04008868001,2.32111777250703,0.136095028257551,17.0551253945476,3.20185072604347e-65,1.92452574306719e-62,"ENSG00000197381","ADARB1","ADARB1","protein_coding"
8014.79636483276,1.74439261875806,0.103849348802034,16.7973380563355,2.5524478826571e-63,1.4847012974217e-60,"ENSG00000172403","SYNPO2","SYNPO2","protein_coding"
3232.63588079279,2.42454543684678,0.144716731203904,16.7537327348185,5.31820933463888e-63,2.99681096006901e-60,"ENSG00000116285","ERRFI1","ERRFI1","protein_coding"
418.919472436378,3.45008797111858,0.208581268235831,16.5407373360956,1.86722809362153e-61,1.0202986964904e-58,"ENSG00000163083","INHBB","INHBB","protein_coding"
7432.96098233325,2.18740836425185,0.134973472784397,16.2062094063917,4.55830621538655e-59,2.41751110811325e-56,"ENSG00000166741","NNMT","NNMT","protein_coding"
2128.12177561681,1.81553988157886,0.113739080980055,15.9623224131487,2.33864689449618e-57,1.20487088004443e-54,"ENSG00000070404","FSTL3","FSTL3","protein_coding"
333.209551189312,-3.04198433758262,0.190975882673827,-15.9286308563795,4.01042437065009e-57,2.00877700698784e-54,"ENSG00000105989","WNT2","WNT2","protein_coding"
943.340735322473,2.28888428084335,0.14502844561033,15.7823127125919,4.1181806634587e-56,2.0070009114456e-53,"ENSG00000122035","RASL11A","RASL11A","protein_coding"
5029.85477688044,1.92796423988314,0.12271503705553,15.710904597704,1.27348978900727e-55,6.04304417773134e-53,"ENSG00000119139","TJP2","TJP2","protein_coding"
3701.51777497719,1.46584799202295,0.0935976502486978,15.6611623061909,2.78755843814589e-55,1.28885266042684e-52,"ENSG00000136478","TEX2","TEX2","protein_coding"
17178.4005648725,2.03067033524044,0.133240610517388,15.240626167616,1.9004031117096e-52,8.56701722758686e-50,"ENSG00000196569","LAMA2","LAMA2","protein_coding"
100989.91598642,-1.30491859104933,0.086058883712716,-15.1630899072017,6.2078740385156e-52,2.73025328445154e-49,"ENSG00000108821","COL1A1","COL1A1","protein_coding"
847.490034652657,2.75317274878602,0.181973471871416,15.1295280596252,1.03434507371438e-51,4.44078818314708e-49,"ENSG00000221866","PLXNA4","PLXNA4","protein_coding"
2236.24203648175,1.8590667625276,0.123334758415604,15.073340122523,2.42534951870605e-51,1.00151810054659e-48,"ENSG00000100242","SUN2","SUN2","protein_coding"
756.360325010941,-1.57287441149056,0.104351568258109,-15.0728392274865,2.4438108043506e-51,1.00151810054659e-48,"ENSG00000172986","GXYLT2","GXYLT2","protein_coding"
363.7631440814,2.4273480920838,0.161397331110251,15.0395801181227,4.04105046536497e-51,1.55038770194598e-48,"ENSG00000060718","COL11A1","COL11A1","protein_coding"
2737.98162586977,1.38758324462709,0.0922591710793265,15.0400575725314,4.01201005049411e-51,1.55038770194598e-48,"ENSG00000134686","PHC2","PHC2","protein_coding"
2018.15055205869,-1.23991059061109,0.0824318752552267,-15.0416399817675,3.91723990498127e-51,1.55038770194598e-48,"ENSG00000145685","LHFPL2","LHFPL2","protein_coding"
530.05884935417,2.7183269928837,0.181169714305593,15.004312411171,6.88002068319677e-51,2.58459443665425e-48,"ENSG00000099337","KCNK6","KCNK6","protein_coding"
167.615767587415,2.94523647868419,0.196435685697794,14.9933881322118,8.11079011373492e-51,2.98477076185445e-48,"ENSG00000157150","TIMP4","TIMP4","protein_coding"
449.176836543226,2.45877945685159,0.164250709765323,14.9696732535563,1.15889216398001e-50,4.17942870017749e-48,"ENSG00000126803","HSPA2","HSPA2","protein_coding"
